context,label,year,test_type,question_number,question,answers
"Psychologists who study giving behavior [have] noticed that some people give substantial amounts to one or two charities, while others give small amounts to many charities.",TRUE,2018,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",1
Those who donate to one or two charities seek evidence about what the charity is doing and [what] it is really having a positive impact.,FALSE,2018,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",2
"If the evidence indicates that the charity is really helping others, they make a substantial donation.",TRUE,2018,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
Those who give small amounts to many charities are not so interested in whether what they are [doing] helps others ─ psychologists call them warm glow givers.,TRUE,2018,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",3
"Knowing that they are giving makes [them] feel good, regardless of the impact of their donation.",TRUE,2018,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",4
"In many cases the donation is so small ─ $10 or less ─ that if they stopped [to think], they would realize that the cost of processing the donation is likely to exceed any benefit it brings to the charity.",TRUE,2018,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",5
Some prominent journalists say that archaeologists should work with treasure hunters because treasure hunters have accumulated valuable historical artifacts that can reveal much about the past.,TRUE,2018,짝수형,29,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
"But archaeologists are not asked to cooperate with tomb robbers, who also have valuable historical artifacts.",TRUE,2018,짝수형,29,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
The quest for profit and the search for knowledge cannot coexist in archaeology because of the [time] factor.,TRUE,2018,짝수형,29,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",1
"Rather incredibly, one archaeologist employed by a treasure hunting firm said that as long as archaeologists are given six months to study shipwrecked artifacts before they are sold, no historical knowledge is [found]!",FALSE,2018,짝수형,29,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",2
"On the contrary, archaeologists and assistants from the INA (Institute of Nautical Archaeology) needed more than a decade of year-round conservation before they could even [catalog] all the finds from an eleventh-century AD wreck they had excavated.",TRUE,2018,짝수형,29,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",3
"Then, to interpret those finds, they had to [learn] Russian, Bulgarian, and Romanian, without which they would never have learned the true nature of the site.",TRUE,2018,짝수형,29,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",4
Could a “commercial archaeologist” have [waited] more than a decade or so before selling the finds?,TRUE,2018,짝수형,29,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",5
"When people face real adversity ─ disease, unemployment, or the disabilities of age ─ affection from a pet takes on new meaning.",TRUE,2017,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
A pet’s continuing affection becomes crucially important for [those] enduring hardship because it reassures them that their core essence has not been damaged.,TRUE,2017,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",1
Thus pets are important in the treatment of [depressed] or chronically ill patients.,TRUE,2017,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",2
"In addition, pets are [used] to great advantage with the institutionalized aged.",TRUE,2017,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",3
In such institutions it is difficult for the staff to retain optimism when all the patients are declining in health.,TRUE,2017,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
Children who visit cannot help but remember [what] their parents or grandparents once were and be depressed by their incapacities.,TRUE,2017,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",4
"Animals, however, have no expectations about mental capacity.",TRUE,2017,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
They do not worship youth.,TRUE,2017,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
They have no memories about what the aged once [was] and greet them as if they were children.,FALSE,2017,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",5
An old man holding a puppy can relive a childhood moment with complete accuracy. His joy and the animal’s response are the same.,TRUE,2017,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
"When teachers work in isolation, they tend to see the world through one set of eyes ─ their own.",TRUE,2017,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",0
The fact that there might be someone somewhere in the same building or district who may be more successful at teaching this or that subject or lesson is [based] on teachers who close the door and work their way through the school calendar virtually alone.,FALSE,2017,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",A
The fact that there might be someone somewhere in the same building or district who may be more successful at teaching this or that subject or lesson is [lost] on teachers who close the door and work their way through the school calendar virtually alone.,TRUE,2017,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",A
"In the absence of a process that [allows] them to benchmark those who do things better or at least differently, teachers are left with that one perspective─their own.",TRUE,2017,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",B
"In the absence of a process that [forbids] them to benchmark those who do things better or at least differently, teachers are left with that one perspective─their own.",FALSE,2017,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",B
I taught various subjects under the social studies umbrella and had very little idea of how my peers who taught the same subject did what they did.,TRUE,2017,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",0
"The idea of meeting regularly to compare notes, plan common assessments, and share what we did well [mostly] occurred to us.",FALSE,2017,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",C
"The idea of meeting regularly to compare notes, plan common assessments, and share what we did well [never] occurred to us.",TRUE,2017,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",C
"Rather, we spent much time in the social studies office complaining about a lack of time and playing the blame game.",TRUE,2017,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",0
The Greeks’ focus on the salient object and its attributes led to 1their failure to understand the fundamental nature of causality.,TRUE,2016,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",1
Aristotle explained that a stone falling through the air is due to the stone having the property of “gravity.”,TRUE,2016,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
But of course a piece of wood 2 tossed into water floats instead of sinking.,TRUE,2016,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",2
This phenomenon Aristotle explained as being due to the wood having the property of “levity”!,TRUE,2016,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
"In both cases the focus is 3 exclusively on the object, with no attention paid to the possibility that some force outside the object might be relevant.",TRUE,2016,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",3
"But the Chinese saw the world as consisting of continuously interacting substances, so their attempts to understand it 4 causing them to be oriented toward the complexities of the entire “field,” that is, the context or environment as a whole.",FALSE,2016,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",4
The notion 5 that events always occur in a field of forces would have been completely intuitive to the Chinese.,TRUE,2016,짝수형,28,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",5
"The Atitlán Giant Grebe was a large, flightless bird that had evolved from the much more widespread and smaller Pied-billed Grebe.",TRUE,2016,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",0
By 1965 there were only around 80 birds left on Lake Atitlán. One immediate reason was easy enough to spot: the local human population was cutting down the reed beds at a furious rate.,TRUE,2016,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",0
This [accomodation] was driven by the needs of a fast growing mat-making industry.,FALSE,2016,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",A
This [destruction] was driven by the needs of a fast growing mat-making industry.,TRUE,2016,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",A
But there were other problems.,TRUE,2016,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",0
An American airline was intent on developing the lake as a tourist destination for fishermen.,TRUE,2016,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",0
"However, there was a major problem with this idea: the lake [lacked] any suitable sporting fish!",TRUE,2016,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",B
"However, there was a major problem with this idea: the lake [supported] any suitable sporting fish!",FALSE,2016,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",B
"To compensate for this rather obvious defect, a specially selected species of fish called the Large-mouthed Bass was introduced.",TRUE,2016,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",0
"The introduced individuals immediately turned their attentions to the crabs and small fish that lived in the lake, thus [competing] with the few remaining grebes for food.",TRUE,2016,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",C
"The introduced individuals immediately turned their attentions to the crabs and small fish that lived in the lake, thus [cooperating] with the few remaining grebes for food.",FALSE,2016,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",C
There is also little doubt that they sometimes gobbled up the zebra-striped Atitlán Giant Grebe’s chicks.,TRUE,2016,짝수형,29,"(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?",0
Competitive activities can be more than just performance showcases [which] the best is recognized and the rest are overlooked.,FALSE,2021,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",1
"The provision of timely, constructive feedback to participants on performance [is] an asset that some competitions and contests offer.",TRUE,2021,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",2
"In a sense, all competitions give feedback.",TRUE,2021,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
"For many, this is restricted to information about whether the participant is an award- or prizewinner.",TRUE,2021,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
The provision of that type of feedback can be interpreted as shifting the emphasis to demonstrating superior performance but not [necessarily] excellence.,TRUE,2021,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",3
"The best competitions promote excellence, not just winning or “beating” others.",TRUE,2021,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
The emphasis on superiority is what we typically see as [fostering] a detrimental effect of competition.,TRUE,2021,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",4
"Performance feedback requires that the program go beyond the “win, place, or show” level of feedback.",TRUE,2021,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
"Information about performance can be very helpful, not only to the participant who does not win or place but also to those who [do].",TRUE,2021,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",5
"If I say to you, ‘Don’t think of a white bear’, you will find it difficult not to think of a white bear. ",TRUE,2021,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
"In this way, ‘thought suppression can actually increase the thoughts one wishes to suppress instead of calming them’.",TRUE,2021,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
One common example of this is that people on a diet who try not to think about food often begin to think much [more] about food.,TRUE,2021,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",1
This process is therefore also known as the rebound effect.,TRUE,2021,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
The [ironic] effect seems to be caused by the interplay of two related cognitive processes.,TRUE,2021,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",2
"This dual-process system involves, first, an intentional operating process, which consciously attempts to locate thoughts [unrelated] to the suppressed ones.",TRUE,2021,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",3
"Second, and simultaneously, an unconscious monitoring process tests whether the operating system is functioning effectively.",TRUE,2021,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
"If the monitoring system encounters thoughts inconsistent with the intended ones, it prompts the intentional operating process to ensure that these are replaced by [inappropriate] thoughts.",FALSE,2021,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",4
"However, it is argued, the intentional operating system can fail due to increased cognitive load caused by fatigue, stress and emotional factors, and so the monitoring process filters the inappropriate thoughts into consciousness, making them highly [accessible].",TRUE,2021,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",5
People from more individualistic cultural contexts tend to be motivated to maintain self-focused agency or control 1 as these serve as the basis of one’s self-worth.,TRUE,2021,6월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",1
"With this form of agency comes the belief that individual successes 2 depending primarily on one’s own abilities and actions, and thus, whether by influencing the environment or trying to accept one’s circumstances, the use of control ultimately centers on the individual.",FALSE,2021,6월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",2
The independent self may be more 3 driven to cope by appealing to a sense of agency or control.,TRUE,2021,6월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",3
"However, people from more interdependent cultural contexts tend to be less focused on issues of individual success and agency and more motivated towards group goals and harmony.",TRUE,2021,6월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
"Research has shown 4 that East Asians prefer to receive, but not seek, more social support rather than seek personal control in certain cases.",TRUE,2021,6월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",4
"Therefore, people 5 who hold a more interdependent self-construal may prefer to cope in a way that promotes harmony in relationships.",TRUE,2021,6월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",5
Chunking is vital for cognition of music.,TRUE,2021,6월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
"If we had to encode it in our brains note by note, we’d [struggle] to make sense of anything more complex than the simplest children’s songs.",TRUE,2021,6월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",1
"Of course, most accomplished musicians can play compositions containing many thousands of notes entirely from  [memory], without a note out of place.",TRUE,2021,6월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",2
"But this seemingly awesome accomplishment of recall is made [improbable] by remembering the musical process, not the individual notes as such.",FALSE,2021,6월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",3
"If you ask a pianist to start a Mozart sonata from bar forty-one, she’ll probably have to [mentally] replay the music from the start until reaching that bar ― the score is not simply laid out in her mind, to be read from any random point.",TRUE,2021,6월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",4
"It’s rather like describing how you drive to work: you don’t simply recite the names of roads as an abstract list, but have to construct your route by mentally retracing it.",TRUE,2021,6월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
"When musicians make a mistake during rehearsal, they wind back to the 5 start of a musical phrase (‘let’s take it from the second verse’) before restarting.",TRUE,2021,6월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",5
"To begin with a psychological reason, the knowledge of another’s personal affairs can tempt the possessor of this information [to repeat] it as gossip because as unrevealed information it remains socially inactive.",TRUE,2020,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",1
"Only when the information is repeated can its possessor [turn] the fact that he knows something into something socially valuable like social recognition, prestige, and notoriety.",TRUE,2020,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",2
"As long as he keeps his information to [himself], he may feel superior to those who do not know it.",TRUE,2020,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",3
"But knowing and not telling does not give him that feeling of “superiority that, so to say, latently contained in the secret, fully [actualizing] itself only at the moment of disclosure.”",FALSE,2020,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",4
This is the main motive for gossiping about well-known figures and superiors.,TRUE,2020,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
"The gossip producer assumes that some of the “fame” of the subject of gossip, as [whose] “friend” he presents himself, will rub off on him.",TRUE,2020,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",5
"One misconception that often appears in the writings of physical scientists who are looking at biology from the outside is that the environment appears to them to be a static entity, which cannot contribute new bits of information as evolution progresses.",TRUE,2020,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
"This, however, is by no means the case.",TRUE,2020,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
"Far from being static, the environment is constantly changing and offering new [challenges] to evolving populations.",TRUE,2020,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",1
"For higher organisms, the most significant changes in the environment are those produced by the contemporaneous evolution of other organisms.",TRUE,2020,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
The evolution of a horse’s hoof from a five-toed foot has [enabled] the horse to gallop rapidly over open plains.,TRUE,2020,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",2
But such galloping is of no [advantage] to a horse unless it is being chased by a predator. ,TRUE,2020,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",3
The horse’s efficient mechanism for running would never have evolved except for the fact that meat-eating predators were at the same time evolving more efficient methods of [attack]. ,TRUE,2020,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",4
"Consequently, laws based upon ecological relationships among different kinds of organisms are [optional] for understanding evolution and the diversity of life to which it has given rise.",FALSE,2020,9월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",5
An interesting aspect of human psychology is that we tend to like things more and find them more [appealing] if everything about those things is not obvious the first time we experience them.,TRUE,2020,6월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",1
"This is certainly true in music. For example, we might hear a song on the radio for the first time that catches our interest and [decide] we like it.",TRUE,2020,6월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",2
"Then the next time we hear it, we hear a lyric we didn’t catch the first time, or we might notice [what] the piano or drums are doing in the background.",TRUE,2020,6월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",3
A special harmony [emerges] that we missed before. We hear more and more and understand more and more with each listening.,TRUE,2020,6월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",4
"Sometimes, the longer [that] takes for a work of art to reveal all of its subtleties to us, the more fond of that thing ― whether it’s music, art, dance, or architecture ― we become.",FALSE,2020,6월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",5
Sometimes the awareness that one is distrusted can provide the necessary incentive for self-reflection.,TRUE,2020,6월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",0
"An employee who [realizes] she isn’t being trusted by her co-workers with shared responsibilities at work might, upon reflection, identify areas where she has consistently let others down or failed to follow through on previous commitments.",TRUE,2020,6월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",1
Others’ distrust of her might then [forbid] her to perform her share of the duties in a way that makes her more worthy of their trust. ,FALSE,2020,6월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",2
But distrust of one who is [sincere] in her efforts to be a trustworthy and dependable person can be disorienting and might cause her to doubt her own perceptions and to distrust herself.,TRUE,2020,6월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",3
"Consider, for instance, a teenager whose parents are [suspicious] and distrustful when she goes out at night;",TRUE,2020,6월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",4
"even if she has been forthright about her plans and is not [breaking] any agreed-upon rules, her identity as a respectable moral subject is undermined by a pervasive parental attitude that expects deceit and betrayal. ",TRUE,2020,6월,30,"다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? ",5
"Not all organisms are able to find sufficient food to survive, so starvation is a kind of disvalue often found in nature.",TRUE,2019,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",0
It also is part of the process of selection [by which] biological evolution functions.,TRUE,2019,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",1
"Starvation helps filter out those less fit to survive, those less resourceful in finding food for [themselves] and their young.",TRUE,2019,9월,29,"다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?",2
