context	label	year	test_type	question_number	question	answers
In such institutions it is difficult for the staff to retain optimism when all the patients are declining in health.	1	2017	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Children who visit cannot help but remember what their parents or grandparents once were and be depressed by their incapacities.	1	2017	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
Animals, however, have no expectations about mental capacity.	1	2017	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
They do not worship youth.	1	2017	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
They have no memories about what the aged once was and greet them as if they were children.	0	2017	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
An old man holding a puppy can relive a childhood moment with complete accuracy. His joy and the animal’s response are the same.	1	2017	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
The Greeks’ focus on the salient object and its attributes led to 1their failure to understand the fundamental nature of causality.	1	2016	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
Aristotle explained that a stone falling through the air is due to the stone having the property of “gravity.”	1	2016	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
But of course a piece of wood 2 tossed into water floats instead of sinking.	1	2016	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
This phenomenon Aristotle explained as being due to the wood having the property of “levity”!	1	2016	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
In both cases the focus is 3 exclusively on the object, with no attention paid to the possibility that some force outside the object might be relevant.	1	2016	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
But the Chinese saw the world as consisting of continuously interacting substances, so their attempts to understand it 4 causing them to be oriented toward the complexities of the entire “field,” that is, the context or environment as a whole.	0	2016	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
The notion 5 that events always occur in a field of forces would have been completely intuitive to the Chinese.	1	2016	짝수형	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
Not all organisms are able to find sufficient food to survive, so starvation is a kind of disvalue often found in nature.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
It also is part of the process of selection by which biological evolution functions.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
Starvation helps filter out those less fit to survive, those less resourceful in finding food for themselves and their young.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
In some circumstances, it may pave the way for genetic variants to take hold in the population of a species and eventually allow the emergence of a new species in place of the old one.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
Thus starvation is a disvalue that can help make possible the good of greater diversity.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
Starvation can be of practical or instrumental value, even as it is an intrinsic disvalue.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
What some organisms must starve in nature is deeply regrettable and sad.	0	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
The statement remains implacably true, even though starvation also may sometimes subserve ends that are good.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Humans are so averse to feeling that they’re being cheated that they often respond in ways that seemingly make little sense. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
Behavioral economists ― the economists who actually study what people do as opposed to the kind who simply assume the human mind works like a calculator ― have shown again and again that people reject unfair offers even if it costs them money to do so. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
Behavioral economists ― the economists who actually study what people do as opposed to the kind who simply assume the human mind works like a calculator ― have shown again and again that people reject unfair offers even if it costs them money to do so. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
The typical experiment uses a task called the ultimatum game. It’s pretty straightforward. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
One person in a pair is given some money ― say $10. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
She then has the opportunity to offer some amount of it to her partner. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
The partner only has two options. He can take what’s offered or refused to take anything. 	0	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
There’s no room for negotiation; that’s why it’s called the ultimatum game. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
What typically happens? 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Many people offer an equal split to the partner, leaving both individuals happy and willing to trust each other in the future.	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
The lack of real, direct experience in and with nature has caused many children to regard the natural world as mere abstraction, that fantastic, beautifully filmed place filled with endangered rainforests and polar bears in peril. 	1	2018	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
This overstated, often fictionalized version of nature is no more real ― and yet no less real ― to them than the everyday nature right outside their doors, waits to be discovered in a child’s way, at a child’s pace. 	0	2018	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
Consider the University of Cambridge study which found that a group of eight-year-old children was able to identify substantially more characters from animations than common wildlife species. 	1	2018	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
One wonders whether our children’s inherent capacity to recognize, classify, and order information about their environment ― abilities once essential to our very survival ― is slowly devolving to facilitate life in their increasingly virtualized world. 	1	2018	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
It’s all part of what Robert Pyle first called “the extinction of experience.”	1	2018	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
Though most bees fill their days visiting flowers and collecting pollen, some bees take advantage of the hard work of others. 	1	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
These thieving bees sneak into the nest of an unsuspecting “normal” bee (known as the host), lay an egg near the pollen mass being gathered by the host bee for her own offspring, and then sneak back out. 	1	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
When the egg of the thief hatches, it kills the host’s offspring and then eats the pollen meant for its victim. 	1	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
Sometimes called brood parasites, these bees are also referred to as cuckoo bees, because they are similar to cuckoo birds, which lay an egg in the nest of another bird and leaves it for that bird to raise.	0	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
They are more technically called cleptoparasites.	1	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
Clepto means “thief” in Greek, and the term cleptoparasite refers specifically to an organism that lives off another by stealing its food.	1	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
In this case the cleptoparasite feeds on the host’s hard-earned pollen stores.	1	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Like life in traditional society, but unlike other team sports, baseball is not governed by the clock.	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	0
A football game is comprised of exactly sixty minutes of play, a basketball game forty or forty-eight minutes, but baseball has no set length of time within which the game must be completed. 	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	0
The pace of the game is therefore leisurely and unhurried, like the world before the discipline of measured time, deadlines, schedules, and wages paid by the hour. 	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	A
The pace of the game is therefore leisurely and unhurriedly, like the world before the discipline of measured time, deadlines, schedules, and wages paid by the hour. 	0	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	A
Baseball belongs to the kind of world which people did not say, “I haven’t got all day.” 	0	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	B
Baseball belongs to the kind of world in which people did not say, “I haven’t got all day.” 	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	B
Baseball games do have all day to be played. But that does not mean that they can go on forever.	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	0
Baseball, like traditional life, proceeds according to the rhythm of nature, specifically the rotation of the Earth. 	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	0
During its first half century, games were not played at night, which meant that baseball games, like the traditional work day, ending when the sun set.	0	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	C
During its first half century, games were not played at night, which meant that baseball games, like the traditional work day, ended when the sun set.	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	C
If an animal is innately programmed for some type of behaviour, then there are likely to be biological clues.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
It is no accident that fish have bodies which are streamlined and smooth, with fins and a powerful tail.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
Their bodies are structurally adapted for moving fast through the water.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Similarly, if you found a dead bird or mosquito, you could guess by looking at its wings that flying was its normal mode of transport.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
However, we must not be over-optimistic.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Biological clues are not essential.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
The extent to which they are finding varies from animal to animal and from activity to activity.	0	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
For example, it is impossible to guess from their bodies that birds make nests, and, sometimes, animals behave in a way quite contrary to what might be expected from their physical form: ghost spiders have tremendously long legs, yet they weave webs out of very short threads.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
To a human observer, their legs seem a great hindrance as they spin and move about the web.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
The Internet and communication technologies play an ever-increasing role in the social lives of young people in developed societies.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Adolescents have been quick to immerse themselves in technology with most using the Internet to communicate.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
Young people treat the mobile phone as an essential necessity of life and often prefer to use text messages to communicate with their friends.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Young people also increasingly access social networking websites.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
As technology and the Internet are a familiar resource for young people, it is logical what they would seek assistance from this source.	0	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
This has been shown by the increase in websites that provide therapeutic information for young people.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
A number of ‘youth friendly’ mental health websites have been developed.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
The information presented often takes the form of Frequently Asked Questions, fact sheets and suggested links.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
It would seem, therefore, logical to provide online counselling for young people.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
An independent artist is probably the one who lives closest to an unbounded creative situation.	1	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
Many artists have considerable freedom from external requirements about what to do, how to do it, when to do it, and why.	1	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
At the same time, however, we know that artists usually limit themselves quite forcefully by choice of material and form of expression.	1	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
To make the choice to express a feeling by carving a specific form from a rock, without the use of high technology or colors, restricting the artist significantly.	0	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
Such choices are not made to limit creativity, but rather to cultivate it.	1	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
When everything is possible, creativity has no tension.	1	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Creativity is strange in that it finds its way in any kind of situation, no matter how restricted, just as the same amount of water flows faster and stronger through a narrow strait than across the open sea.	1	2016	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
